"Tipo","SKU","GTIN, UPC, EAN o ISBN","Nombre","Publicado","¿Está destacado?","Visibilidad en el catálogo","Descripción corta","Descripción","Día en que empieza el precio rebajado","Día en que termina el precio rebajado","Estado del impuesto","Clase de impuesto","¿En inventario?","Inventario","Cantidad de bajo inventario","¿Permitir reservas de productos agotados?","¿Vendido individualmente?","Peso (kg)","Longitud (cm)","Anchura (cm)","Altura (cm)","¿Permitir valoraciones de clientes?","Nota de compra","Precio rebajado","Precio normal","Categorías","Etiquetas","Clase de envío","Imágenes","Límite de descargas","Días de caducidad de la descarga","Superior","Productos agrupados","Ventas dirigidas","Ventas cruzadas","URL externa","Texto del botón","Posición","Marcas","Nombre del atributo 1","Valor(es) del atributo 1","Atributo visible 1","Atributo global 1","Atributo por defecto 1","Meta: _bgm_min_1","Meta: _bgm_descuento_1","Meta: _bgm_min_2","Meta: _bgm_descuento_2","Meta: _bgm_modo_descuento"
"variable","8588981034594","","Cole de cabello Ref:103459","1","0","visible","","Las coles para el cabello son un accesorio versátil y funcional que se adapta a diferentes tipos de cabello y estilos.","","","taxable","","1","35","","0","0","","","","","1","","","","Cabello > Accesorios, Cabello","","","https://beautygirlmg.cl/wp-content/uploads/2024/12/Cole-de-cabello-Ref103459.jpg","","","","","","","","","0","","COLOR","01, 02, 03, 04, 05, 06, 07","1","1","","3","500","12","900","unico"
"variation","","","Cole de cabello Ref:103459 - 01","1","0","visible","","","","","taxable","parent","1","","","0","0","","","","","0","","","1800","","","","","","","8588981034594","","","","","","1","","COLOR","01","","1","","","","","",""
"variation","","","Cole de cabello Ref:103459 - 02","1","0","visible","","","","","taxable","parent","1","","","0","0","","","","","0","","","1800","","","","","","","8588981034594","","","","","","2","","COLOR","02","","1","","","","","",""
"variation","","","Cole de cabello Ref:103459 - 03","1","0","visible","","","","","taxable","parent","1","","","0","0","","","","","0","","","1800","","","","","","","8588981034594","","","","","","3","","COLOR","03","","1","","","","","",""
"variation","","","Cole de cabello Ref:103459 - 04","1","0","visible","","","","","taxable","parent","1","","","0","0","","","","","0","","","1800","","","","","","","8588981034594","","","","","","4","","COLOR","04","","1","","","","","",""
"variation","","","Cole de cabello Ref:103459 - 05","1","0","visible","","","","","taxable","parent","1","","","0","0","","","","","0","","","1800","","","","","","","8588981034594","","","","","","5","","COLOR","05","","1","","","","","",""
"variation","","","Cole de cabello Ref:103459 - 06","1","0","visible","","","","","taxable","parent","1","","","0","0","","","","","0","","","1800","","","","","","","8588981034594","","","","","","6","","COLOR","06","","1","","","","","",""
"variation","","","Cole de cabello Ref:103459 - 07","1","0","visible","","","","","taxable","parent","1","","","0","0","","","","","0","","","1800","","","","","","","8588981034594","","","","","","7","","COLOR","07","","1","","","","","",""
"variable","8588981023796","","Cole de cabello Ref:102378","1","0","visible","","Las coles para el cabello son un accesorio versátil y funcional que se adapta a diferentes tipos de cabello y estilos.","","","taxable","","1","36","","0","0","","","","","1","","","","Cabello > Accesorios, Cabello","","","https://beautygirlmg.cl/wp-content/uploads/2024/12/Cole-de-cabello-Ref102379.jpg","","","","","","","","","0","","Color","01, 02, 03, 04, 05","1","0","","3","400","12","800","unico"
"variation","","","Cole de cabello Ref:102378 - 01","1","0","visible","","","","","taxable","parent","1","","","0","0","","","","","0","","","","","","","","","","8588981023796","","","","","","1","","Color","01","","0","","","","","",""
"variation","","","Cole de cabello Ref:102378 - 02","1","0","visible","","","","","taxable","parent","1","","","0","0","","","","","0","","","1500","","","","","","","8588981023796","","","","","","2","","Color","02","","0","","","","","",""
"variation","","","Cole de cabello Ref:102378 - 03","1","0","visible","","","","","taxable","parent","1","","","0","0","","","","","0","","","1500","","","","","","","8588981023796","","","","","","3","","Color","03","","0","","","","","",""
"variation","","","Cole de cabello Ref:102378 - 04","1","0","visible","","","","","taxable","parent","1","","","0","0","","","","","0","","","1500","","","","","","","8588981023796","","","","","","4","","Color","04","","0","","","","","",""
